GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-05-17T16:00;17.05.2024 16:00;0.8;1;96;923;9.4;14;9;7;51.2;5.5;2.5;23.9;309.1
2024-05-17T17:00;17.05.2024 17:00;0.4;29;96;923;9.7;16;10;8;42.3;5.5;2.5;24.4;294.6
2024-05-17T18:00;17.05.2024 18:00;0.2;243;96;923;10;19;14;12;26.5;5.5;2.5;26.1;311.7
2024-05-17T19:00;17.05.2024 19:00;0.2;205;96;923;9.8;22;17;15;16.3;5.5;2.5;26.8;307.9
2024-05-17T20:00;17.05.2024 20:00;0.2;222;96;924;9.4;22;17;15;11;5.5;2.5;30.7;323.2
2024-05-17T21:00;17.05.2024 21:00;0.2;217;96;924;8;20;16;15;5;5.5;2.5;24.7;341.5
2024-05-17T22:00;17.05.2024 22:00;0.2;240;96;924;7.2;20;17;16;10.3;5.5;2.5;20.3;339.3
2024-05-17T23:00;17.05.2024 23:00;0.2;187;96;924;7.4;19;16;15;5;5.5;2.5;17.8;336.9
2024-05-18T00:00;18.05.2024 0:00;0.1;180;96;924;8.2;26;21;19;5;5.5;2.5;15.3;328.4
2024-05-18T01:00;18.05.2024 1:00;0.2;149;96;924;8.4;24;19;18;12.9;5.5;2.5;18;304.9
2024-05-18T02:00;18.05.2024 2:00;0.3;156;96;924;8.3;22;17;15;19.3;5.5;2.5;13;293.6
2024-05-18T03:00;18.05.2024 3:00;0.3;159;96;925;7.7;18;13;11;24.1;5.5;2.5;8.6;258.8
2024-05-18T04:00;18.05.2024 4:00;0.2;141;96;925;7;14;10;9;24.4;5.5;2.5;4;228.1
2024-05-18T05:00;18.05.2024 5:00;0.5;159;96;925;8.3;16;10;9;33.5;5.5;2.5;9;218.5
2024-05-18T06:00;18.05.2024 6:00;0.7;162;96;925;9.8;16;10;9;53.7;5.5;2.5;4;100
2024-05-18T07:00;18.05.2024 7:00;0.8;168;90;926;11.9;14;9;7;64.2;5.5;2.5;4;100
2024-05-18T08:00;18.05.2024 8:00;0.8;179;78;926;13.9;14;9;7;68.9;5.5;2.5;4;100
2024-05-18T09:00;18.05.2024 9:00;0.9;180;70;926;15.3;14;8;6;75.2;5.5;2.5;4;363.2
2024-05-18T10:00;18.05.2024 10:00;0.9;169;61;926;17;14;8;5;82.9;5.5;2.5;4;249.7
2024-05-18T11:00;18.05.2024 11:00;0.9;153;50;925;17.9;8;4;3;93;5.5;2.5;4;100
2024-05-18T12:00;18.05.2024 12:00;1;111;44;925;18.9;6;4;3;98.5;5.5;2.5;4;100
2024-05-18T13:00;18.05.2024 13:00;0.9;123;47;925;18.4;6;3;3;97.9;5.5;2.5;4;100
2024-05-18T14:00;18.05.2024 14:00;1;123;45;924;18.4;5;3;2;99;5.5;2.5;4;204.2
2024-05-18T15:00;18.05.2024 15:00;0.7;153;46;924;17.9;7;3;2;96.1;5.5;2.5;4;236.2
2024-05-18T16:00;18.05.2024 16:00;0.4;199;68;923;15.7;6;3;2;87;5.5;2.5;4;205.5
2024-05-18T17:00;18.05.2024 17:00;0.3;160;68;923;16.1;5;3;2;71.6;5.5;2.5;4;100
2024-05-18T18:00;18.05.2024 18:00;0.5;272;80;923;14.4;7;4;3;65.1;5.5;2.5;10.7;222.5
2024-05-18T19:00;18.05.2024 19:00;0.4;187;89;923;12.9;8;5;4;57.8;5.5;2.5;17.4;226.6
2024-05-18T20:00;18.05.2024 20:00;0.2;170;96;924;12.1;10;7;5;42.3;5.5;2.5;19.7;259.1
2024-05-18T21:00;18.05.2024 21:00;0.2;181;96;924;11.9;13;9;8;28;5.5;2.5;26.3;287.6
2024-05-18T22:00;18.05.2024 22:00;0.2;208;96;923;11.5;16;13;12;17.2;5.5;2.5;29.2;280.7
2024-05-18T23:00;18.05.2024 23:00;0.2;164;96;923;11.1;14;11;10;13.7;5.5;2.5;29.2;282.4
2024-05-19T00:00;19.05.2024 0:00;0.2;170;96;923;10.7;15;13;11;11.6;5.5;2.5;27.6;286.4
