GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-01-07T00:00;07.01.2024 0:00;2.2;3;99;1010;-0.7;8;;;32.4;5.5;2.5;10;237.2
2024-01-07T01:00;07.01.2024 1:00;3;4;99;1010;-1.2;12;;;32.1;5.5;2.5;15.8;243.1
2024-01-07T02:00;07.01.2024 2:00;2.9;2;99;1010;-1.5;11;;;39;5.5;2.5;13.9;237.8
2024-01-07T03:00;07.01.2024 3:00;2.7;3;99;1010;-2;12;;;41.3;5.5;2.5;15;229.4
2024-01-07T04:00;07.01.2024 4:00;3.2;3;99;1011;-2.6;10;;;49.3;5.5;2.5;12.2;211.2
2024-01-07T05:00;07.01.2024 5:00;2.8;4;99;1011;-2.9;11;;;52.7;21.3;2.5;11.5;213
2024-01-07T06:00;07.01.2024 6:00;2.9;2;99;1011;-3.3;9;;;52;11.4;2.5;14.4;100
2024-01-07T07:00;07.01.2024 7:00;2.7;5;99;1012;-3.7;7;;;53.3;11.2;2.5;15.1;100
2024-01-07T08:00;07.01.2024 8:00;2.9;3;99;1012;-4;7;;;58.4;5.5;2.5;12.3;100
2024-01-07T09:00;07.01.2024 9:00;2.7;6;99;1013;-4.1;13;;;58.6;5.5;2.5;12.1;100
2024-01-07T10:00;07.01.2024 10:00;2.9;3;99;1013;-4.2;8;;;59.7;5.5;2.5;11.5;100
2024-01-07T11:00;07.01.2024 11:00;3.1;3;99;1013;-4.3;13;;;58.7;5.5;2.5;13.9;100
2024-01-07T12:00;07.01.2024 12:00;2.6;7;99;1013;-4.2;11;;;61.7;5.5;2.5;11.9;100
2024-01-07T13:00;07.01.2024 13:00;3.5;2;99;1013;-4.4;14;;;57.7;5.5;2.5;14.7;100
2024-01-07T14:00;07.01.2024 14:00;3.1;4;99;1014;-4.7;15;;;58.2;5.5;2.5;11;100
2024-01-07T15:00;07.01.2024 15:00;3.3;2;99;1014;-5.2;14;;;54.6;5.5;2.5;11.2;100
2024-01-07T16:00;07.01.2024 16:00;2.9;1;99;1015;-5.3;12;;;49.4;5.5;2.5;14.3;206.9
2024-01-07T17:00;07.01.2024 17:00;3.5;2;99;1016;-5.6;17;;;46.7;12.3;2.5;15.1;215.9
2024-01-07T18:00;07.01.2024 18:00;2.7;1;99;1016;-5.8;20;;;48;5.5;2.5;11.6;226.2
2024-01-07T19:00;07.01.2024 19:00;2.8;0;99;1017;-6.1;17;;;48.4;5.5;2.5;10;226.8
2024-01-07T20:00;07.01.2024 20:00;3;358;99;1017;-6.3;17;;;47.6;5.5;2.5;10;226.5
2024-01-07T21:00;07.01.2024 21:00;3.7;1;99;1018;-6.6;14;;;46.7;5.5;2.5;10.6;226.3
2024-01-07T22:00;07.01.2024 22:00;3.2;1;99;1018;-6.8;16;;;47.7;5.5;2.5;8.6;227
2024-01-07T23:00;07.01.2024 23:00;3;1;99;1019;-7.1;18;;;46.1;5.5;2.5;9.4;227.9
2024-01-08T00:00;08.01.2024 0:00;3;2;99;1019;-7.4;17;;;44.6;5.5;2.5;9.6;231.1
2024-01-08T01:00;08.01.2024 1:00;3.2;1;99;1020;-7.6;16;;;42.8;5.5;2.5;11.5;226.4
2024-01-08T02:00;08.01.2024 2:00;3.1;3;99;1020;-7.6;17;;;41.6;5.5;2.5;12.5;211.2
2024-01-08T03:00;08.01.2024 3:00;3.2;1;99;1020;-7.8;19;;;41.6;5.5;2.5;12.4;100
2024-01-08T04:00;08.01.2024 4:00;3.1;359;99;1021;-7.9;15;;;36.9;5.5;2.5;16.9;100
2024-01-08T05:00;08.01.2024 5:00;3.2;4;99;1022;-8.2;11;;;37.1;5.5;2.5;13.4;206.9
2024-01-08T06:00;08.01.2024 6:00;2.8;6;99;1022;-8.6;19;;;32.4;5.5;2.5;14.8;227.1
2024-01-08T07:00;08.01.2024 7:00;2.6;5;99;1023;-8.8;21;;;24.8;5.5;2.5;21.2;246
2024-01-08T08:00;08.01.2024 8:00;2.8;7;99;1024;-8.9;16;;;23.5;5.5;5.3;20.5;261.2
2024-01-08T09:00;08.01.2024 9:00;2.2;9;98;1025;-8.9;25;;;22.2;5.5;6.3;22;272.6
2024-01-08T10:00;08.01.2024 10:00;2.8;3;98;1026;-9;22;;;27.1;5.5;5.7;18.4;276.1
